question,rag_memory_diff,rag_elapsed_time,rag_estimated_cpu_usage,rag_psutil_cpu_usage,rag_response_size,rag_token_count,rag_gpu_memory_used_nvml,rag_gpu_utilization_nvml,rag_gpu_memory_used_smi,rag_gpu_utilization_smi,rag_gpu_utilization_torch_diff,no_context_memory_diff,no_context_elapsed_time,no_context_estimated_cpu_usage,no_context_psutil_cpu_usage,no_context_response_size,no_context_token_count,no_context_gpu_memory_used_nvml,no_context_gpu_utilization_nvml,no_context_gpu_memory_used_smi,no_context_gpu_utilization_smi,no_context_gpu_utilization_torch_diff
"""How to fix LIFX bulb that is not appearing in HomeKit?""",0.0,0.7636082172393799,1.3095720782258509,5.6,201,43,0.0,-3,0.0,-3.0,0.0,0.0,4.550400018692017,1.0988044961894534,6.25,2198,495,0.0,-17,0.0,-17.0,0.0
"""How to resolve LIFX bulb that is not working with IFTTT?""",0.0,0.7259390354156494,1.3775261436762225,5.55,182,42,0.0,0,0.0,0.0,0.0,0.0,4.807209730148315,1.040104401653913,6.25,2358,542,0.0,-21,0.0,-21.0,0.0
"""How to resolve LIFX bulb that is not syncing with motion sensor commands?""",0.0,0.6602644920349121,0.0,5.65,180,38,0.0,0,0.0,-28.0,0.0,0.0,4.695377588272095,0.8519016681404954,6.050000000000001,2442,517,0.0,-21,0.0,-21.0,0.0
"""How to resolve LIFX bulb that wont change brightness via Google Home?""",0.0,0.7356338500976562,1.3593719210552375,5.6,191,39,0.0,-7,0.0,-7.0,0.0,0.0,4.544938564300537,1.1001248816150944,6.0,2286,490,0.0,-22,0.0,-22.0,0.0
"""How to troubleshoot LIFX bulb that is not following app automations?""",0.0,0.7072510719299316,0.0,5.65,181,38,0.0,-3,0.0,-3.0,0.0,0.0,5.327806234359741,0.7507780546151743,6.0,2746,573,0.25,-22,0.0,-22.0,0.0
"""How to prevent unauthorized pairing of LIFX bulbs?""",0.0,0.6447269916534424,0.0,5.3,139,25,-0.0625,-13,0.0,-13.0,0.0,0.0,4.036537170410156,0.7432112906061215,5.65,2101,433,0.0,-13,0.0,-13.0,0.0
"""How to manage linked accounts in the LIFX app for security?""",0.0,0.6235661506652832,1.6036790947234543,5.45,152,29,0.0,-15,0.0,-15.0,0.0,0.0,4.529581785202026,1.1038546685113786,6.25,2589,491,0.0,-21,0.0,-21.0,0.0
"""How to restrict LIFX app access to specific devices?""",0.0,0.6173787117004395,1.6197513471833218,5.45,140,28,0.0,-4,0.0,-4.0,0.0,0.0,3.682443380355835,0.8146764770379779,6.25,2019,397,0.0,-9,0.0,-9.0,0.0
"""How to prevent LIFX bulb from being controlled by unauthorized smart speakers?""",0.0,0.6889681816101074,0.0,5.5,163,32,0.0,-21,0.0,-21.0,0.0,0.0,4.301144361495972,0.9299850606756649,5.9,2215,458,0.0,-21,0.0,-21.0,0.0
"""How to prevent unauthorized voice commands from controlling LIFX bulbs?""",0.0,0.6262598037719727,1.596781390051694,5.65,134,26,0.0,-11,0.0,-11.0,0.0,0.0,4.4378557205200195,1.1266702468223055,6.0,2386,482,0.0,-15,0.0,-15.0,0.0
"""How to maintain LIFX system integrity after network changes?""",0.0,0.9972562789916992,1.0027512697253573,5.9,351,70,0.0,-19,0.0,-19.0,0.0,0.0,4.615761756896973,0.6499468902437422,6.1,2395,517,0.0,-23,0.0,-23.0,0.0
"""How to fix Nest Thermostat not detecting the HVAC system?""",0.0,0.5978667736053467,1.6726134385594977,5.05,143,30,0.0,-15,0.0,-15.0,0.0,0.0,5.302350282669067,0.9429780632078327,5.95,2829,601,0.0,-1,0.0,-1.0,0.0
"""How to fix Nest Thermostat Wi-Fi disconnecting frequently?""",0.0,1.4094781875610352,0.7094824232299148,5.9,571,120,0.0,-28,0.0,-28.0,0.0,0.0,3.3920516967773438,0.8844204829927258,5.95,1671,361,0.0,-2,0.0,-2.0,0.0
"""What if the Nest Thermostat is not recognizing the heating system?""",0.0,0.5222489833831787,0.0,5.2,72,13,0.0,-16,0.0,-16.0,0.0,0.0,4.53997540473938,1.1013275522989388,6.1,2459,494,0.0,0,0.0,-23.0,0.0
"""How to fix Nest Thermostat that is showing Low Battery?""",0.0,0.6665527820587158,0.0,5.4,158,31,0.0,-18,0.0,-18.0,0.0,0.0,4.691941499710083,0.8525255483784433,6.25,2541,519,0.0,-15,0.0,-15.0,0.0
"""What if Nest Thermostat is not triggering the fan when needed?""",0.0,0.5860342979431152,0.0,5.800000000000001,144,25,0.0,-5,0.0,-5.0,0.0,0.0,3.8891513347625732,1.028502019000199,6.0,2029,434,0.0,-17,0.0,-17.0,0.0
"""How to fix Nest Thermostat that wont power on after installation?""",0.0,0.6593859195709229,1.516562562709578,5.35,162,29,0.0,-11,0.0,-11.0,0.0,0.0,4.109908819198608,0.9732576015591206,6.25,2213,458,0.0,-5,0.0,-5.0,0.0
"""How to fix Nest Thermostat that keeps losing power?""",0.0,0.6781175136566162,1.4746706579044198,5.4,169,34,0.0,-28,0.0,-28.0,0.0,0.0,4.617831230163574,0.8662074901898442,6.05,2473,518,0.0,-21,0.0,-21.0,0.0
"""How to troubleshoot Nest Thermostat not recognizing the fan system?""",0.0,0.5857281684875488,1.7072766067940066,5.4,126,25,0.0,-28,0.0,-28.0,0.0,0.0,4.725762605667114,1.0580302942015756,6.05,2437,519,0.0,-3,0.0,-3.0,0.0
"""What if Nest Thermostat is not displaying the correct humidity level?""",0.0,0.6634795665740967,0.0,5.45,178,38,0.0,-21,0.0,-21.0,0.0,0.0,3.9422574043273926,1.0146470891549328,6.15,2145,423,0.0,-13,0.0,-13.0,0.0
"""How to fix Nest Thermostat that wont connect after changing the Wi-Fi password?""",0.0,0.7167747020721436,1.3951385241549181,5.6,160,35,0.0,0,0.0,0.0,0.0,0.0,4.024121522903442,0.7455043250869782,6.0,1991,434,0.0,-21,0.0,-21.0,0.0
"""Why is Nest Thermostat not connecting to Wi-Fi after a power outage?""",0.0,0.6382925510406494,0.0,5.7,171,35,0.0,-22,0.0,-22.0,0.0,0.0,4.612401723861694,0.8672271496443371,5.9,2377,512,0.0,-20,0.0,-20.0,0.0
"""How to prevent unauthorized pairing of Nest Thermostat?""",0.0,0.4788367748260498,2.0883943184267504,5.449999999999999,43,9,0.0,-28,0.0,-28.0,0.0,0.0,3.493745803833008,0.8586772388271885,6.0,1871,382,0.0,-21,0.0,-21.0,0.0
"""How to restrict Nest Thermostat integration with deprecated systems?""",0.0,0.6386113166809082,1.5658977125520885,5.35,142,26,0.0,-12,0.0,-12.0,0.0,0.0,3.611280679702759,0.8307302217911045,6.25,2090,381,0.0,-14,0.0,-14.0,0.0
"""How to protect Nest Thermostat from unauthorized smart hub integration?""",0.0,0.6001157760620117,1.6663451285369268,5.65,141,23,0.0,-21,0.0,-21.0,0.0,0.0,4.320364236831665,0.9258478639138227,5.95,2403,469,0.0,0,0.0,-23.0,0.0
"""How to secure Nest Thermostat after network security updates?""",0.0,0.5605640411376953,0.0,5.699999999999999,132,23,0.0,-19,0.0,-19.0,0.0,0.0,4.2992262840271,0.9303999686780933,5.95,2310,470,0.0,-22,0.0,-22.0,0.0
"""How to restrict guest network access to Nest Thermostat?""",0.0,0.5773782730102539,1.7319668001801154,5.65,121,26,0.0,-14,0.0,-14.0,0.0,0.0,3.678853988647461,1.0872951229763546,5.9,2051,394,0.0,-10,0.0,-10.0,0.0
"""How to avoid phishing attempts targeting Nest Thermostat users?""",0.0,0.6425564289093018,1.556283549596611,5.5,165,27,0.0,-4,0.0,-4.0,0.0,0.0,4.448032855987549,0.8992739328835572,6.35,2407,470,0.0,0,0.0,0.0,0.0
"""How to manage Nest Thermostat user access after an account change?""",0.0,0.6424212455749512,0.0,5.4,141,24,0.0,-6,0.0,-6.0,0.0,0.0,4.00539755821228,0.7489893216339657,6.300000000000001,2134,428,0.0,-11,0.0,-11.0,0.0
"""How to revoke third-party permissions after unlinking Nest Thermostat from smart home systems?""",0.0,0.6006267070770264,1.6649276301199647,5.4,128,25,0.0,-19,0.0,-19.0,0.0,0.0,4.3318190574646,0.692549702608145,6.05,2334,465,0.0,-21,0.0,-21.0,0.0
"""How to protect Nest Thermostat from unauthorized app updates?""",0.0,0.518028974533081,1.9303939531575969,5.449999999999999,120,17,0.0,-11,0.0,-11.0,0.0,0.0,3.6555259227752686,0.8206753455936429,6.0,2021,381,0.0,0,0.0,0.0,0.0
"""How to prevent unauthorized firmware updates on Nest Thermostat?""",0.0,0.560039758682251,1.7855875132034693,5.699999999999999,135,25,0.0,0,0.0,-27.0,0.0,0.0,2.8496415615081787,0.7018426552359441,6.0,1735,299,0.0,-14,0.0,-14.0,0.0
"""How to ensure that Nest Thermostat software is up to date with security patches?""",0.0,0.5731949806213379,0.0,5.75,138,24,0.0,-17,0.0,-17.0,0.0,0.0,3.5810322761535645,0.8377472663336211,6.05,1882,387,0.0,0,0.0,-22.0,0.0
"""How to manage Nest Thermostat linked devices after upgrading your router?""",0.0,0.593193769454956,0.0,5.449999999999999,143,28,0.0,-9,0.0,-9.0,0.0,0.0,4.473052024841309,1.117805018191839,6.300000000000001,2237,495,0.0,-21,0.0,-21.0,0.0
"""How to prevent Nest Thermostat from being controlled by deprecated mobile devices?""",0.0,0.5504579544067383,0.0,5.4,109,20,0.0,-17,0.0,-17.0,0.0,0.0,3.427032709121704,1.1671904937916548,6.1,1844,353,0.0,0,0.0,0.0,0.0
"""Why are my Philips Hue lights unreachable in the app?""",0.0,0.7973573207855225,1.2541428716241725,5.65,246,43,0.0,-4,0.0,-4.0,0.0,0.0,4.24390435218811,1.1781603884222407,5.95,2291,457,0.0,-13,0.0,-13.0,0.0
"""How to resolve Philips Hue lights not syncing with music?""",0.0,0.6890456676483154,1.4512826173236315,5.550000000000001,179,35,0.0,-1,0.0,-1.0,0.0,0.0,3.9837992191314697,1.0040666660080604,6.05,2037,433,0.0,0,0.0,-23.0,0.0
"""How to fix delayed response from Philips Hue lights?""",0.0,0.6614916324615479,1.511734919877796,5.5,181,30,0.0,-8,0.0,-8.0,0.0,0.0,5.068846940994263,0.9864176326891816,6.15,2709,535,0.0,-2,0.0,-2.0,0.0
"""Why is the Philips Hue Bridge light flashing?""",0.0,0.6428112983703613,1.5556664958040793,5.65,167,32,0.0,0,0.0,0.0,0.0,0.0,3.4531798362731934,0.8687644844002381,5.95,1902,366,0.0,0,0.0,-23.0,0.0
"""How to resolve Philips Hue lights not responding to motion sensors?""",0.0,0.721489429473877,1.3860216922786097,5.5,190,34,0.0,-27,0.0,-27.0,0.0,0.0,4.6324803829193115,0.8634683084139769,6.300000000000001,2498,486,0.0,-21,0.0,-21.0,0.0
"""How to resolve Philips Hue lights not working after a firmware update?""",0.0,0.7067015171051025,1.4150245553390652,5.8,178,35,0.0,-20,0.0,-20.0,0.0,0.0,4.161691904067993,0.9611475554185002,6.050000000000001,2090,444,0.0,-5,0.0,-5.0,0.0
"""What if Philips Hue lights are not pairing with the new bridge?""",0.0,0.6437618732452393,0.0,5.449999999999999,162,30,0.0,-21,0.0,-21.0,0.0,0.0,4.265064716339111,0.9378521232460918,6.1,2427,455,0.0,-8,0.0,-8.0,0.0
"""What if Philips Hue lights are not grouping correctly in the app?""",0.0,0.6576721668243408,1.5205143997945771,5.5,163,29,0.0,-8,0.0,-8.0,0.0,0.0,4.152276039123535,0.9633270915303206,6.15,2125,462,0.0,0,0.0,0.0,0.0
"""Why are Philips Hue lights not turning on after a power cycle?""",0.0,0.683478593826294,0.0,5.35,174,30,0.0,-18,0.0,-18.0,0.0,0.0,3.9227335453033447,0.764772821134291,6.0,2123,439,0.0,-12,0.0,-12.0,0.0
"""What if Philips Hue lights are not responding to Siri commands after a firmware update?""",0.0,0.7040703296661377,1.4203126560854784,5.949999999999999,170,33,0.0,0,0.0,0.0,0.0,0.0,2.8543026447296143,0.7006965444580809,6.05,1474,297,0.0,-21,0.0,-21.0,0.0
"""How to fix Philips Hue lights that are not turning on with motion detection?""",0.0,0.7027888298034668,1.422902524331154,5.55,205,36,0.0,0,0.0,-26.0,0.0,0.0,4.772346496582031,0.8381621080668465,6.0,2528,500,0.0,-21,0.0,-21.0,0.0
"""What if Philips Hue lights are not dimming when using the Hue Dimmer Switch?""",0.0,0.6850073337554932,0.0,5.4,169,32,0.0,-1,0.0,-1.0,0.0,0.0,3.8193135261535645,0.7854814692368832,6.25,2048,411,0.0,0,0.0,-23.0,0.0
"""Why are Philips Hue lights not reconnecting after a power outage?""",0.0,0.7051684856414795,1.4181008090439962,5.65,173,32,0.0,-1,0.0,-1.0,0.0,0.0,4.677660942077637,1.0689103083598441,6.0,2454,498,0.0,-22,0.0,-22.0,0.0
"""How to fix Philips Hue lights that are not turning on with smart button commands?""",0.0,0.7359449863433838,1.358797217938382,5.65,194,34,0.0,-21,0.0,-21.0,0.0,0.0,4.070105075836182,0.982775610327085,6.0,2084,424,0.0,-4,0.0,-4.0,0.0
"""How to fix Philips Hue lights that are not responding after being reset?""",0.0,0.6615176200866699,0.0,5.8,158,32,0.0,0,0.0,0.0,0.0,0.0,5.33149790763855,0.9378227444930956,6.1,2697,561,0.0,0,0.0,0.0,0.0
"""How to unlink Philips Hue from smart speakers for privacy reasons?""",0.0,0.6530303955078125,1.5313222889462703,5.5,145,29,0.0,-21,0.0,-21.0,0.0,0.0,3.9256792068481445,1.0189319578182743,6.25,2058,416,0.0,-18,0.0,-18.0,0.0
"""How to prevent Philips Hue from sharing usage data with connected services?""",0.0,0.5670812129974365,1.7634158513440488,5.7,109,20,0.0,-9,0.0,-9.0,0.0,0.0,4.41543984413147,0.9059120135713414,5.95,2404,461,0.0,-21,0.0,-21.0,0.0
"""How to ensure Philips Hue firmware updates are secure?""",0.0,0.600771427154541,1.664526565014674,5.75,150,24,0.0,-21,0.0,-21.0,0.0,0.0,4.473790645599365,1.1176204691022613,6.0,2441,478,0.0,0,0.0,0.0,0.0
"""How to prevent Philips Hue from automatically connecting to new devices?""",0.0,0.6177372932434082,3.2376222414861537,5.6,122,21,0.0,0,0.0,-28.0,0.0,0.0,3.5894064903259277,0.8357927718929671,6.1,1967,370,0.25,0,0.0,0.0,0.0
"""How to limit voice assistant integration with Philips Hue for security?""",0.0,0.6527960300445557,1.531872061066698,5.65,132,24,0.0,-13,0.0,-13.0,0.0,0.0,4.7949278354644775,1.0427685611906783,6.0,2768,512,0.0,-12,0.0,-12.0,0.0
"""How to prevent Philips Hue from being added to unauthorized smart hubs?""",0.0,0.5281569957733154,0.0,5.65,112,18,0.25,-18,0.0,-18.0,0.0,0.0,4.678201675415039,0.855029406068894,6.05,2526,482,-0.0625,-3,0.0,-3.0,0.0
"""How to control what information is shared between Philips Hue and other smart devices?""",0.0,0.6664261817932129,0.0,5.6,174,28,0.0,0,0.0,0.0,0.0,0.0,4.846955299377441,0.6189452583533097,6.0,2818,501,0.0,0,0.0,-23.0,0.0
"""How to ensure Philips Hue system integrity after a network change?""",0.0,0.6364631652832031,1.5711828343680307,5.65,151,24,0.0,-28,0.0,-28.0,0.0,0.0,4.897984266281128,0.8166624845117537,6.0,2732,525,0.0,0,0.0,-23.0,0.0
"""How to manage security settings after adding new Philips Hue lights?""",0.0,0.583099365234375,1.7149735698961177,5.449999999999999,152,24,0.0,-21,0.0,-21.0,0.0,0.0,5.063241958618164,0.790007673481118,6.05,2742,535,0.0,0,0.0,-23.0,0.0
"""How to ensure that Philips Hue system is not controlled via unauthorized voice assistants?""",0.0,0.6138973236083984,1.6289368947280276,5.449999999999999,134,25,0.0,-28,0.0,-28.0,0.0,0.0,4.3395936489105225,0.9217452885258359,6.25,2203,456,0.0,0,0.0,0.0,0.0
"""Why is TP-Link smart plug not appearing in Google Home?""",0.0,1.5068166255950928,0.6636507608244346,5.75,554,114,0.0,-18,0.0,-18.0,0.0,0.0,5.566819190979004,0.8981789830900535,6.05,2735,595,0.0,-6,0.0,-6.0,0.0
"""What if TP-Link smart plug is not connecting after a firmware update?""",0.0,0.7649712562561035,0.0,5.449999999999999,166,35,0.0,-21,0.0,-21.0,0.0,0.0,3.689157724380493,1.0842583318045396,6.25,1736,371,0.0,-3,0.0,-3.0,0.0
"""How to fix TP-Link smart plug that is not syncing with group settings?""",0.0,0.736083984375,1.3585406301831162,5.7,169,35,0.0,0,0.0,-27.0,0.0,0.0,5.44310736656189,0.9185929402599035,6.0,2691,564,0.0,-19,0.0,-19.0,0.0
"""How to fix TP-Link smart bulb that is not following HomeKit automations?""",0.0,0.6927258968353271,1.443572421023367,5.45,185,33,0.0,-12,0.0,-12.0,0.0,0.0,5.594062566757202,1.0725657656484302,6.2,2653,595,0.0,-4,0.0,-4.0,0.0
"""What if TP-Link smart bulb is not updating its status in the app?""",0.0,0.6616134643554688,1.5114565435494765,5.8,153,32,0.0,-17,0.0,-17.0,0.0,0.0,4.18720817565918,0.7164678406580137,6.15,2012,443,0.0,-6,0.0,-6.0,0.0
"""Why is TP-Link smart plug flashing rapidly?""",0.0,0.7248795032501221,1.3795396276440972,5.65,159,33,0.0,-18,0.0,-18.0,0.0,0.0,3.370039939880371,0.593464776584226,5.85,1794,352,0.0,-21,0.0,-21.0,0.0
"""How to troubleshoot TP-Link smart plug that wont change colors with scenes?""",0.0,0.6826190948486328,0.0,5.55,177,33,0.0,-4,0.0,-4.0,0.0,0.0,5.102240562438965,1.1759539611224068,6.2,2756,532,0.0,-2,0.0,-2.0,0.0
"""Why is TP-Link smart plug not showing status changes in real-time?""",0.0,0.4864668846130371,2.0556383828563094,5.4,49,13,0.0,-16,0.0,-16.0,0.0,0.0,4.778949022293091,1.046255144525745,6.05,2498,520,0.0,-7,0.0,-7.0,0.0
"""What if TP-Link smart bulb is not connecting after router firmware update?""",0.0,0.6748812198638916,1.4817422245069556,5.8,167,32,0.0,-20,0.0,-20.0,0.0,0.0,4.294692516326904,0.9313821617713788,5.9,2098,458,0.0,-13,0.0,-13.0,0.0
"""What if TP-Link smart bulb is not syncing with Apple Shortcuts?""",0.0,0.7534241676330566,2.6545471806196317,5.699999999999999,182,39,0.0,-9,0.0,-9.0,0.0,0.0,4.333338737487793,0.9230757718971795,5.95,2139,468,0.0,-21,0.0,-21.0,0.0
"""What if TP-Link smart bulb is not adjusting color temperature correctly?""",0.0,0.6404213905334473,1.5614718914465484,5.85,165,29,0.0,-10,0.0,-10.0,0.0,0.0,4.119461297988892,0.9710007475862688,6.0,2122,435,0.0,-12,0.0,-12.0,0.0
"""How to resolve TP-Link smart plug that is not syncing with motion sensor commands?""",0.0,0.6971909999847412,1.4343271786675356,5.699999999999999,184,36,0.0,0,0.0,0.0,0.0,0.0,5.015701055526733,0.9968696189517858,5.95,2653,556,0.0,0,0.0,-23.0,0.0
"""How to resolve TP-Link smart plug that wont change brightness via Google Home?""",0.0,0.7497413158416748,0.0,5.75,192,38,0.0,-4,0.0,-4.0,0.0,0.0,5.067078351974487,0.9867619272263252,5.7,2565,540,0.0,-22,0.0,-22.0,0.0
"""How to secure TP-Link smart plug from unauthorized access?""",0.0,0.7068140506744385,1.4147992658675863,5.449999999999999,156,30,0.0,-21,0.0,-21.0,0.0,0.0,5.221919059753418,0.7660019150484662,6.2,2681,545,0.0,-10,0.0,-10.0,0.0
"""How to prevent unauthorized changes to TP-Link plug settings?""",0.0,0.6211278438568115,1.6099745163406656,5.65,131,23,0.0,-15,0.0,-15.0,0.0,0.0,4.606043577194214,1.0855303290562377,6.0,2400,480,0.0,-21,0.0,-21.0,0.0
"""How to ensure TP-Link device data is not shared with third parties?""",0.0,0.7854483127593994,1.2731582508432153,5.7,226,41,0.0,-28,0.0,-28.0,0.0,0.0,4.0335373878479,0.9916853658158652,6.0,2228,411,0.0,-4,0.0,-4.0,0.0
"""How to prevent unauthorized smart hubs from controlling TP-Link plugs?""",0.0,0.6004481315612793,0.0,5.5,96,21,0.0,-10,0.0,-10.0,0.0,0.0,5.138764381408691,0.5837979283217734,6.15,2754,542,0.0,-12,0.0,-12.0,0.0
"""How to verify security settings after adding a new TP-Link plug?""",0.0,0.6927778720855713,1.4434641178565133,5.55,142,24,0.0,-28,0.0,-28.0,0.0,0.0,5.495978832244873,0.5458536307307322,6.05,2840,581,0.0,-19,0.0,-19.0,0.0
"""How to control TP-Link data shared with other smart devices?""",0.0,0.6934292316436768,0.0,5.35,128,24,0.0,-11,0.0,-11.0,0.0,0.0,4.527605295181274,0.8834692379782112,6.25,2461,468,0.0,-1,0.0,-1.0,0.0
"""How to maintain TP-Link system integrity after network changes?""",0.0,1.060227632522583,0.0,5.8,416,69,0.0,-21,0.0,-21.0,0.0,0.0,5.494568347930908,1.0919875084018857,6.05,3195,605,0.0,-21,0.0,-21.0,0.0
"""How to disable data sharing with TP-Link cloud services?""",0.0,0.5009942054748535,1.996031069962712,5.25,52,12,0.0,-14,0.0,-14.0,0.0,0.0,5.031524181365967,0.993734665634547,6.05,2384,539,0.0,-3,0.0,-3.0,0.0
"""How to protect TP-Link smart plug from potential hacking attempts?""",0.0,1.669546127319336,0.59896518199513,5.800000000000001,655,138,0.0,0,0.0,0.0,0.0,0.0,5.034011363983154,0.5959462112986507,6.0,2809,538,0.0,0,0.0,0.0,0.0
"""How to limit TP-Link integration to only essential third-party services?""",0.0,0.6519985198974609,1.5337458130370594,5.2,131,25,0.0,-18,0.0,-18.0,0.0,0.0,4.8628761768341064,0.8225584725048881,6.05,2546,506,0.0,-20,0.0,-20.0,0.0
"""How to protect TP-Link plugs from rogue firmware installations?""",0.0,0.5742437839508057,0.0,5.4,115,24,0.0,-19,0.0,-19.0,0.0,0.0,5.414012908935547,0.9235293827522294,6.25,3031,565,0.0,0,0.0,-23.0,0.0
"""How to disable Kasa integration with old or unused systems?""",0.0,0.6294460296630859,1.5886985585314526,5.699999999999999,131,27,0.0,-1,0.0,-1.0,0.0,0.0,4.433831691741943,0.6766156698251863,5.95,2172,468,0.0,-5,0.0,-5.0,0.0
"""How to secure TP-Link system when using public Wi-Fi?""",0.0,0.6001827716827393,1.6661591221543717,5.699999999999999,140,25,0.0,-11,0.0,-11.0,0.0,0.0,4.643344402313232,0.8614480541237636,5.95,2350,493,0.0,-21,0.0,-21.0,0.0
"""How to delete account-related data from TP-Link system?""",0.0,0.5865762233734131,1.704808275807819,5.699999999999999,135,24,0.0,-21,0.0,-21.0,0.0,0.0,3.327831506729126,0.6009919660766696,6.0,1776,340,0.0,0,0.0,0.0,0.0
"""How to prevent unauthorized pairing of TP-Link devices?""",0.0,0.6839408874511719,1.4621146627536328,5.5,177,32,0.0,-21,0.0,-21.0,0.0,0.0,4.29945969581604,0.6977620939020599,6.0,2298,443,0.0,-15,0.0,-15.0,0.0
"""How to manage access control settings for TP-Link devices?""",0.0,0.6410007476806641,0.0,5.45,162,29,0.0,-2,0.0,-2.0,0.0,0.0,5.126799821853638,0.9752672571081691,5.8,2690,548,0.0,-16,0.0,-16.0,0.0
"""How to secure TP-Link devices in case of stolen mobile device?""",0.0,0.6520366668701172,1.5336560822557026,5.5,153,27,0.0,-4,0.0,-4.0,0.0,0.0,5.173335790634155,0.9664943862818729,6.3,2617,536,0.0,0,0.0,0.0,0.0
"""How to prevent unauthorized modifications to TP-Link schedules?""",0.0,0.6099627017974854,1.6394445054627325,5.65,140,25,0.0,-16,0.0,-16.0,0.0,0.0,4.275102615356445,0.935650055657531,6.0,2396,446,0.0,-21,0.0,-21.0,0.0
"""How to prevent data leaks from TP-Link devices?""",0.0,0.6649136543273926,1.5039546766617446,5.75,153,31,0.0,-21,0.0,-21.0,0.0,0.0,5.7570436000823975,0.8685013259110012,6.05,3123,598,0.0,-19,0.0,-19.0,0.0
"""How to check which devices are linked to my TP-Link account?""",0.0,0.6636593341827393,1.5067971600721608,5.55,167,30,0.0,-2,0.0,-2.0,0.0,0.0,2.3493659496307373,0.8512935161571462,6.199999999999999,1146,225,0.0,-3,0.0,-3.0,0.0
"""How to secure TP-Link devices when moving to a new location?""",0.0,0.6260919570922852,3.194418930547121,5.15,118,26,0.0,-19,0.0,-19.0,0.0,0.0,5.262917757034302,0.9500433468328693,5.9,2799,560,0.0,-18,0.0,-18.0,0.0
"""How to protect TP-Link plugs from being accessed through a compromised router?""",0.0,0.6617798805236816,3.0221529225351427,5.8,183,32,0.0,-19,0.0,-19.0,0.0,0.0,4.678983211517334,0.8548865894953203,5.95,2559,491,0.0,-16,0.0,-16.0,0.0
"""What to do if TP-Link Kasa Smart Plug does not power on?""",0.0,0.8565738201141357,0.0,5.75,245,46,0.0,-12,0.0,-12.0,0.0,0.0,5.280494928359985,0.9468809397288643,5.95,2638,548,0.0,-7,0.0,-7.0,0.0
"""How to reset the TP-Link Kasa Smart Plug to factory settings?""",0.0,0.7901425361633301,0.0,4.8,214,41,0.0,-4,0.0,-4.0,0.0,0.0,2.020946741104126,1.4844527760102186,6.0,926,200,0.0,-14,0.0,-14.0,0.0
"""How to fix TP-Link Kasa Smart Plug losing connection intermittently?""",0.0,1.293787956237793,0.7729241837355122,5.55,447,95,0.0,-21,0.0,-21.0,0.0,0.0,4.960357189178467,0.6047951559911119,6.15,2463,508,0.0,-12,0.0,-12.0,0.0
"""What to do if TP-Link Kasa Smart Plug fails to respond after a power outage?""",0.0,0.8030283451080322,2.4905721101669704,5.75,210,46,0.0,-28,0.0,-28.0,0.0,0.0,4.128596782684326,0.9688521816362021,5.95,2076,434,0.0,0,0.0,0.0,0.0
"""How to disable remote control for TP-Link Kasa Smart Plug?""",0.0,0.7074298858642578,1.4135676481597943,5.75,156,33,0.0,-21,0.0,-21.0,0.0,0.0,2.4002444744110107,0.41662422751519,5.95,1115,243,0.0,-13,0.0,-13.0,0.0
"""How to enable local-only control for TP-Link Kasa Smart Plug?""",0.0,1.1594650745391846,1.724933371362928,5.85,362,77,0.0,-21,0.0,-21.0,0.0,0.0,4.074949264526367,0.7362054850881203,6.0,2376,419,0.0,-5,0.0,-5.0,0.0
"""How to fix Wemo Mini Smart Plug not responding to voice commands via Google Home?""",0.0,0.936837911605835,2.1348410170266607,5.75,246,50,0.0,-1,0.0,-1.0,0.0,0.0,5.3310747146606445,0.9378971910208613,6.15,2554,562,-0.0625,-13,0.0,-13.0,0.0
"""How to fix Wemo Mini Smart Plug not showing in Alexa Routines?""",0.0,0.8475477695465088,1.179874499031663,5.55,246,48,0.0,0,0.0,-28.0,0.0,0.0,4.901423931121826,0.8160893765182059,6.25,2356,527,0.0,0,0.0,0.0,0.0
"""How to fix Wemo Mini Smart Plug that is unresponsive after a power outage?""",0.0,0.8071050643920898,0.0,5.75,197,45,0.0,-21,0.0,-21.0,0.0,0.0,4.025902271270752,0.9935660953680673,5.95,1976,426,0.0,0,0.0,-23.0,0.0
"""How to group multiple Wemo Mini Smart Plugs for simultaneous control?""",0.0,0.6852209568023682,0.0,5.5,175,35,0.0,-27,0.0,-27.0,0.0,0.0,2.484285354614258,0.8050604960832798,6.2,1180,256,0.0,-21,0.0,-21.0,0.0
"""How to fix Wemo Mini Smart Plug not showing in the Home app on iOS?""",0.0,0.858823299407959,0.0,5.8,238,47,0.0,-18,0.0,-18.0,0.0,0.0,3.868649959564209,1.033952423147431,5.9,1823,405,0.0,-7,0.0,-7.0,0.0
"""How to fix Wemo Mini Smart Plug that is stuck on blinking orange?""",0.0,0.7798252105712891,1.2823386400515913,5.45,177,34,0.0,-3,0.0,-3.0,0.0,0.0,4.173521041870117,0.7188175092213841,6.3,2092,442,0.0,-16,0.0,-16.0,0.0
"""How to fix Wemo Mini Smart Plug if Away Mode is not working?""",0.0,0.7339644432067871,1.3624638213164677,5.45,173,35,0.0,-21,0.0,-21.0,0.0,0.0,4.563011407852173,0.876614069628796,6.15,2263,494,0.0,-7,0.0,-7.0,0.0
